,species,germ_layer,organ,time
0,Chicken,Ectoderm,Brain,e10
1,Chicken,Ectoderm,Brain,e12
2,Chicken,Ectoderm,Brain,e14
3,Chicken,Ectoderm,Brain,e17
4,Chicken,Ectoderm,Brain,P0
5,Chicken,Ectoderm,Brain,P7
6,Chicken,Ectoderm,Brain,P35
7,Chicken,Ectoderm,Brain,P70
8,Chicken,Ectoderm,Brain,P155
9,Chicken,Ectoderm,Cerebellum,e10
10,Chicken,Ectoderm,Cerebellum,e12
11,Chicken,Ectoderm,Cerebellum,e14
12,Chicken,Ectoderm,Cerebellum,e17
13,Chicken,Ectoderm,Cerebellum,P0
14,Chicken,Ectoderm,Cerebellum,P7
15,Chicken,Ectoderm,Cerebellum,P35
16,Chicken,Ectoderm,Cerebellum,P70
17,Chicken,Ectoderm,Cerebellum,P155
18,Chicken,Mesoderm,Heart,e10
19,Chicken,Mesoderm,Heart,e12
20,Chicken,Mesoderm,Heart,e14
21,Chicken,Mesoderm,Heart,e17
22,Chicken,Mesoderm,Heart,P0
23,Chicken,Mesoderm,Heart,P7
24,Chicken,Mesoderm,Heart,P35
25,Chicken,Mesoderm,Heart,P70
26,Chicken,Mesoderm,Heart,P155
27,Chicken,Mesoderm,Kidney,e10
28,Chicken,Mesoderm,Kidney,e12
29,Chicken,Mesoderm,Kidney,e14
30,Chicken,Mesoderm,Kidney,e17
31,Chicken,Mesoderm,Kidney,P0
32,Chicken,Mesoderm,Kidney,P7
33,Chicken,Mesoderm,Kidney,P35
34,Chicken,Mesoderm,Kidney,P70
35,Chicken,Mesoderm,Kidney,P155
36,Chicken,Mesoderm,Ovary,e10
37,Chicken,Mesoderm,Ovary,e12
38,Chicken,Mesoderm,Ovary,e14
39,Chicken,Mesoderm,Ovary,e17
40,Chicken,Mesoderm,Ovary,P0
41,Chicken,Mesoderm,Ovary,P7
42,Chicken,Mesoderm,Ovary,P35
43,Chicken,Mesoderm,Ovary,P70
44,Chicken,Mesoderm,Ovary,P155
45,Chicken,Mesoderm,Testis,e10
46,Chicken,Mesoderm,Testis,e12
