Approved symbol	Approved name	UniProt ID(supplied by UniProt)	NCBI Gene ID	Ensembl ID(supplied by Ensembl)
A1BG	alpha-1-B glycoprotein	P04217	1	ENSG00000121410
A1BG-AS1	A1BG antisense RNA 1		503538	ENSG00000268895
A1CF	APOBEC1 complementation factor	Q9NQ94	29974	ENSG00000148584
A2M	alpha-2-macroglobulin	P01023	2	ENSG00000175899
A2M-AS1	A2M antisense RNA 1		144571	ENSG00000245105
A2ML1	alpha-2-macroglobulin like 1	A8K2U0	144568	ENSG00000166535
A2ML1-AS1	A2ML1 antisense RNA 1			ENSG00000256661
A2ML1-AS2	A2ML1 antisense RNA 2			ENSG00000256904
A2MP1	alpha-2-macroglobulin pseudogene 1		3	ENSG00000256069
A3GALT2	alpha 1,3-galactosyltransferase 2	U3KPV4	127550	ENSG00000184389
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Q9NPC4	53947	ENSG00000128274
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3	51146	ENSG00000118017
AAAS	aladin WD repeat nucleoporin	Q9NRG9	8086	ENSG00000094914
AACS	acetoacetyl-CoA synthetase	Q86V21	65985	ENSG00000081760
AACSP1	acetoacetyl-CoA synthetase pseudogene 1		729522	ENSG00000250420
AADAC	arylacetamide deacetylase	P22760	13	ENSG00000114771
AADACL2	arylacetamide deacetylase like 2	Q6P093	344752	ENSG00000197953
AADACL2-AS1	AADACL2 antisense RNA 1		101928142	ENSG00000242908
AADACL3	arylacetamide deacetylase  like 3	Q5VUY0	126767	ENSG00000188984
AADACL4	arylacetamide deacetylase like 4	Q5VUY2	343066	ENSG00000204518
AADACP1	arylacetamide deacetylase pseudogene 1		201651	ENSG00000240602
AADAT	aminoadipate aminotransferase	Q8N5Z0	51166	ENSG00000109576
AAGAB	alpha and gamma adaptin binding protein	Q6PD74	79719	ENSG00000103591
AAK1	AP2 associated kinase 1	Q2M2I8	22848	ENSG00000115977
AAMDC	adipogenesis associated Mth938 domain containing	Q9H7C9	28971	ENSG00000087884
AAMP	angio associated migratory cell protein	Q13685	14	ENSG00000127837
AANAT	aralkylamine N-acetyltransferase	Q16613	15	ENSG00000129673
AAR2	AAR2 splicing factor	Q9Y312	25980	ENSG00000131043
AARD	alanine and arginine rich domain containing protein	Q4LEZ3	441376	ENSG00000205002
AARS	alanyl-tRNA synthetase	P49588	16	ENSG00000090861
AARS2	alanyl-tRNA synthetase 2, mitochondrial	Q5JTZ9	57505	ENSG00000124608
AARSD1	alanyl-tRNA synthetase domain containing 1	Q9BTE6	80755	ENSG00000266967
AARSP1	alanyl-tRNA synthetase pseudogene 1			ENSG00000249038
AASDH	aminoadipate-semialdehyde dehydrogenase	Q4L235	132949	ENSG00000157426
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Q9NRN7	60496	ENSG00000149313
AASS	aminoadipate-semialdehyde synthase	Q9UDR5	10157	ENSG00000008311
AATBC	apoptosis associated transcript in bladder cancer		284837	ENSG00000215458
AATF	apoptosis antagonizing transcription factor	Q9NY61	26574	ENSG00000275700
AATK	apoptosis associated tyrosine kinase	Q6ZMQ8	9625	ENSG00000181409
AAVS1	adeno-associated virus integration site 1		17	
ABALON	apoptotic BCL2L1-antisense long non-coding RNA		103021294	ENSG00000281376
ABAT	4-aminobutyrate aminotransferase	P80404	18	ENSG00000183044
ABCA1	ATP binding cassette subfamily A member 1	O95477	19	ENSG00000165029
ABCA2	ATP binding cassette subfamily A member 2	Q9BZC7	20	ENSG00000107331
ABCA3	ATP binding cassette subfamily A member 3	Q99758	21	ENSG00000167972
ABCA4	ATP binding cassette subfamily A member 4	P78363	24	ENSG00000198691
ABCA5	ATP binding cassette subfamily A member 5	Q8WWZ7	23461	ENSG00000154265
ABCA6	ATP binding cassette subfamily A member 6	Q8N139	23460	ENSG00000154262
ABCA7	ATP binding cassette subfamily A member 7	Q8IZY2	10347	ENSG00000064687
ABCA8	ATP binding cassette subfamily A member 8	O94911	10351	ENSG00000141338
ABCA9	ATP binding cassette subfamily A member 9	Q8IUA7	10350	ENSG00000154258
ABCA9-AS1	ABCA9 antisense RNA 1			ENSG00000231749
ABCA10	ATP binding cassette subfamily A member 10	Q8WWZ4	10349	ENSG00000154263
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Q4W5N1	79963	ENSG00000251595
ABCA12	ATP binding cassette subfamily A member 12	Q86UK0	26154	ENSG00000144452
ABCA13	ATP binding cassette subfamily A member 13	Q86UQ4	154664	ENSG00000179869
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene		650655	ENSG00000238098
ABCB1	ATP binding cassette subfamily B member 1	P08183	5243	ENSG00000085563
ABCB4	ATP binding cassette subfamily B member 4	P21439	5244	ENSG00000005471
ABCB5	ATP binding cassette subfamily B member 5	Q2M3G0	340273	ENSG00000004846
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Q9NP58	10058	ENSG00000115657
ABCB7	ATP binding cassette subfamily B member 7	O75027	22	ENSG00000131269
ABCB8	ATP binding cassette subfamily B member 8	Q9NUT2	11194	ENSG00000197150
ABCB9	ATP binding cassette subfamily B member 9	Q9NP78	23457	ENSG00000150967
ABCB10	ATP binding cassette subfamily B member 10	Q9NRK6	23456	ENSG00000135776
ABCB10P1	ABCB10 pseudogene 1		56476	ENSG00000274099
ABCB10P3	ABCB10 pseudogene 3		728248	ENSG00000261524
ABCB10P4	ABCB10 pseudogene 4		100132289	ENSG00000260053
ABCB11	ATP binding cassette subfamily B member 11	O95342	8647	ENSG00000073734
ABCC1	ATP binding cassette subfamily C member 1	P33527	4363	ENSG00000103222
ABCC2	ATP binding cassette subfamily C member 2	Q92887	1244	ENSG00000023839
ABCC3	ATP binding cassette subfamily C member 3	O15438	8714	ENSG00000108846
ABCC4	ATP binding cassette subfamily C member 4	O15439	10257	ENSG00000125257
ABCC5	ATP binding cassette subfamily C member 5	O15440	10057	ENSG00000114770
ABCC5-AS1	ABCC5 antisense RNA 1			ENSG00000223882
ABCC6	ATP binding cassette subfamily C member 6	O95255	368	ENSG00000091262
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1		653190	ENSG00000256340
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2		730013	ENSG00000255277
ABCC8	ATP binding cassette subfamily C member 8	Q09428	6833	ENSG00000006071
ABCC9	ATP binding cassette subfamily C member 9	O60706	10060	ENSG00000069431
ABCC10	ATP binding cassette subfamily C member 10	Q5T3U5	89845	ENSG00000124574
ABCC11	ATP binding cassette subfamily C member 11	Q96J66	85320	ENSG00000121270
ABCC12	ATP binding cassette subfamily C member 12	Q96J65	94160	ENSG00000140798
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		150000	ENSG00000243064
ABCD1	ATP binding cassette subfamily D member 1	P33897	215	ENSG00000101986
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		23785	
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		26983	ENSG00000215151
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3		26982	ENSG00000261233
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4		26957	ENSG00000225293
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5		642762	ENSG00000214330
ABCD2	ATP binding cassette subfamily D member 2	Q9UBJ2	225	ENSG00000173208
ABCD3	ATP binding cassette subfamily D member 3	P28288	5825	ENSG00000117528
ABCD4	ATP binding cassette subfamily D member 4	O14678	5826	ENSG00000119688
ABCE1	ATP binding cassette subfamily E member 1	P61221	6059	ENSG00000164163
ABCF1	ATP binding cassette subfamily F member 1	Q8NE71	23	ENSG00000204574
ABCF1-DT	ABCF1 divergent transcript		107986587	
ABCF2	ATP binding cassette subfamily F member 2	Q9UG63	10061	
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1		344653	ENSG00000242159
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2		100422059	ENSG00000228769
ABCF3	ATP binding cassette subfamily F member 3	Q9NUQ8	55324	ENSG00000161204
ABCG1	ATP binding cassette subfamily G member 1	P45844	9619	ENSG00000160179
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Q9UNQ0	9429	ENSG00000118777
ABCG4	ATP binding cassette subfamily G member 4	Q9H172	64137	ENSG00000172350
ABCG5	ATP binding cassette subfamily G member 5	Q9H222	64240	ENSG00000138075
ABCG8	ATP binding cassette subfamily G member 8	Q9H221	64241	ENSG00000143921
ABHD1	abhydrolase domain containing 1	Q96SE0	84696	ENSG00000143994
ABHD2	abhydrolase domain containing 2	P08910	11057	ENSG00000140526
ABHD3	abhydrolase domain containing 3	Q8WU67	171586	ENSG00000158201
ABHD4	abhydrolase domain containing 4	Q8TB40	63874	ENSG00000100439
ABHD5	abhydrolase domain containing 5	Q8WTS1	51099	ENSG00000011198
ABHD6	abhydrolase domain containing 6	Q9BV23	57406	ENSG00000163686
ABHD8	abhydrolase domain containing 8	Q96I13	79575	ENSG00000127220
ABHD10	abhydrolase domain containing 10	Q9NUJ1	55347	ENSG00000144827
ABHD11	abhydrolase domain containing 11	Q8NFV4	83451	ENSG00000106077
ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)		171022	ENSG00000225969
ABHD12	abhydrolase domain containing 12	Q8N2K0	26090	ENSG00000100997
ABHD12B	abhydrolase domain containing 12B	Q7Z5M8	145447	ENSG00000131969
ABHD13	abhydrolase domain containing 13	Q7L211	84945	ENSG00000139826
ABHD14A	abhydrolase domain containing 14A	Q9BUJ0	25864	ENSG00000248487
ABHD14A-ACY1	ABHD14A-ACY1 readthrough		100526760	ENSG00000114786
ABHD14B	abhydrolase domain containing 14B	Q96IU4	84836	ENSG00000114779
ABHD15	abhydrolase domain containing 15	Q6UXT9	116236	ENSG00000168792
ABHD15-AS1	ABHD15 antisense RNA 1			ENSG00000264031
ABHD16A	abhydrolase domain containing 16A	O95870	7920	ENSG00000204427
ABHD16B	abhydrolase domain containing 16B	Q9H3Z7	140701	ENSG00000183260
ABHD17A	abhydrolase domain containing 17A	Q96GS6	81926	ENSG00000129968
ABHD17AP1	abhydrolase domain containing 17A pseudogene 1		728917	ENSG00000198658
ABHD17AP3	abhydrolase domain containing 17A pseudogene 3		648359	ENSG00000250536
ABHD17AP4	abhydrolase domain containing 17A pseudogene P4		729495	ENSG00000229107
ABHD17AP5	abhydrolase domain containing 17A pseudogene 5		91219	ENSG00000263366
ABHD17AP6	abhydrolase domain containing 17A pseudogene 6		644988	ENSG00000226981
ABHD17AP7	abhydrolase domain containing 17A pseudogene 7		100133212	ENSG00000260864
ABHD17AP8	abhydrolase domain containing 17A pseudogene 8		647144	ENSG00000260540
ABHD17AP9	abhydrolase domain containing 17A pseudogene 9		100132251	ENSG00000261536
ABHD17B	abhydrolase domain containing 17B	Q5VST6	51104	ENSG00000107362
ABHD17C	abhydrolase domain containing 17C	Q6PCB6	58489	ENSG00000136379
