,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.12688534930348397,0.959841934764347,0.9662532986113584,0.10252759226948506,0.12888215,0.10193254798650742,0.9767553416853312,0.9793294779865369,0.2638429296271785,0.2911382,0.2667257571460086,0.31683227
1,Rat:Heart,0.08780213786909978,0.9825665833404904,0.9861188419807932,0.3330433078943999,0.3986662,0.11685882601886988,0.9594837858417277,0.9643843071455889,-0.003662033973086256,-0.006643556,0.4538664175133984,0.50540733
2,Opossum:Ovary,0.13492640480399132,0.9490816691216359,0.9564292835152256,0.1696322208565756,0.1888592,0.09939564391970634,0.966526338868471,0.9740507634849714,0.22647253474520182,0.23515803,0.3051626291202731,0.3088537
3,Opossum:Testis,0.126217570155859,0.9580799680210333,0.9611868214516043,0.23257382370552454,0.27143642,0.18630313873291016,0.9047251293225129,0.9215914271167618,0.31453783366423993,0.4190506,0.48054802025682236,0.5245271
4,RhesusMacaque:Liver,0.10731452703475952,0.9756599216849307,0.9789719988534453,0.35778366056327676,0.4046433,0.09751852415502071,0.9865408379442926,0.9868466701160008,0.24235605559232296,0.28709486,0.39153121310632893,0.42483523
5,Chicken:Kidney,0.1138058677315712,0.9563383763567456,0.9668945532944939,0.27174056915949696,0.2983212,0.09757681004703045,0.9750436528978769,0.9794392595126389,0.2709905140083829,0.30070606,0.3567100522097213,0.38458207
6,Human:Liver,0.09582723528146744,0.9795025305839341,0.9828585113401945,0.3890792915445463,0.4875202,0.11197726428508759,0.9776758993643981,0.9774633572677814,0.26221045665122433,0.2856309,0.5277492627937195,0.5655514
7,Chicken:Cerebellum,0.1299816206097603,0.9430279492488104,0.9547598624891073,0.08985219501433928,0.10407187,0.13793978467583656,0.9420225477491153,0.9525915447507876,0.15354070152217075,0.16384245,0.19198102801676595,0.2191855
8,RhesusMacaque:Brain,0.19488550509725297,0.9433385494200807,0.9551727282486462,0.08128486338281178,0.08809413,0.156223613768816,0.9498080027797413,0.9520861019037059,0.05978380763291419,0.092542045,0.11733126789380925,0.105905436
9,Opossum:Cerebellum,0.12279014041026433,0.9595677395956828,0.9672185457208519,0.34862122214868746,0.37952423,0.12199293076992035,0.9661755802837282,0.9719796514679957,-0.0027796161482461982,0.051872093,0.42932699883394776,0.47381204
10,Rabbit:Brain,0.10558950818247265,0.9713431188109009,0.9774689329994024,0.4092028825648945,0.4092798,0.127571826800704,0.9461312783155241,0.9593185691522956,0.1602911978821972,0.17977414,0.476964167533327,0.5079519
11,Human:Brain,0.11134604765818669,0.9723168861545427,0.9767687900601031,0.6106440438008937,0.6368621,0.09773918054997921,0.9837254201780007,0.9853997512285084,0.2407235826163688,0.24227655,0.6094135197521956,0.6357846
12,Chicken:Heart,0.21704960986971855,0.9724258998179516,0.9800210218349621,0.023648797705713653,0.035221983,0.23267581686377525,0.9661804045952278,0.9713178321960798,0.1341716302669314,0.14084743,0.09997426281344216,0.08897337
13,RhesusMacaque:Testis,0.16588576717509163,0.9178920490522695,0.9274607672625383,0.14070152217074783,0.15367195,0.33426257967948914,0.8838629579150796,0.9051855130078944,-0.02559011692036179,-0.078616485,0.2570163126086356,0.15614958
14,Chicken:Ovary,0.1462160348892212,0.9354469756174707,0.944762829474597,-0.04802559011692036,-0.015133743,0.19402403011918068,0.8847031283530931,0.8961590367125191,0.07610853739245532,0.08774434,0.030160305904845947,0.07226664
15,Human:Ovary,0.11687584593892097,0.9550481844607438,0.9631616265758957,0.38026535564589836,0.40602738,0.06836476549506187,0.9829449860316763,0.9865251322908674,0.4320758879329362,0.48185518,0.3867550935717713,0.42719993
16,Chicken:Liver,0.12577292770147325,0.9660056696727443,0.9707568240216995,0.12693580410324284,0.15760733,0.1356705240905285,0.9538401469099212,0.9615118538432821,0.21195676152658283,0.2333239,0.2390102213398044,0.27434793
17,Rat:Cerebellum,0.10629757706608091,0.9719144709670743,0.9787100879847487,0.2495745485487379,0.20603718,0.14109802804887295,0.9438183066688615,0.9552672243804712,-0.0011471431722920777,0.0025488515,0.29315059526839804,0.2930113
18,Mouse:Ovary,0.11399122753313609,0.9679574880403313,0.9699985593908946,0.1484352841070247,0.1329426,0.13414136320352554,0.965189334945991,0.9682388805687905,-0.009177145378336648,0.021881286,0.20392045633607514,0.21872367
19,Opossum:Brain,0.11257657822635439,0.9685510209729499,0.9745000571099661,0.5023053165673947,0.5542072,0.08169098570942879,0.9852186987669577,0.9874569053462727,0.03432605338627841,0.04840568,0.5496943052535375,0.5870193
20,Opossum:Liver,0.10621696604149682,0.9781457879449409,0.9817774798633839,0.5055938987110399,0.5456633,0.08142922632396221,0.9885726864027253,0.9896620836134946,0.2690050739024928,0.2755635,0.5434094418707257,0.5801665
21,Human:Heart,0.09687742218375206,0.9731786283718834,0.9785038374025157,0.3774178612034336,0.44498616,0.12384534068405628,0.9707403441403081,0.9751962027658487,0.15645268034414297,0.17272462,0.5137560424334607,0.5494773
22,Chicken:Testis,0.12581995278596877,0.9671041813957141,0.9714818195105162,0.1517979263181116,0.16427031,0.13422973826527596,0.950605483990481,0.956973098962794,0.5343922347231415,0.58686006,0.4028163835576145,0.5020143
23,Human:Testis,0.15940205270753188,0.9442327793332251,0.953471834073123,0.38964153938654666,0.38620207,0.16113229654729366,0.955343777319726,0.9553944607169835,0.05484226781380983,0.06098294,0.46175836076564075,0.44681168
24,Mouse:Testis,0.15492343476840428,0.9505483550857965,0.9535046219645389,0.09430840502978163,0.040325664,0.38015688583254814,0.8415592395932853,0.8478832884070481,0.02589896315905581,-0.07165507,0.1478122583350909,0.11431281
25,Rabbit:Cerebellum,0.12931725063494273,0.9564521244188772,0.9674470352971213,0.20304276574958244,0.19939066,0.12972204387187958,0.9609471333825635,0.9679553340702975,0.2532539157290977,0.26169112,0.23303235480601467,0.25822774
26,Rat:Testis,0.10130955444441901,0.9762450506244102,0.9785102306441475,0.3523126700492683,0.37172124,0.15001923218369484,0.9298945264989005,0.9364373068443202,0.5646591661151555,0.60910743,0.5571475843812045,0.65454036
27,Rat:Ovary,0.10776898823678493,0.9749708132375076,0.9763445742207935,0.2078146502368872,0.22063343,0.12578614987432957,0.9476621333329593,0.9543438369768545,0.06604897418927862,0.0417523,0.30308215940247707,0.33693376
28,Mouse:Liver,0.1719701381193267,0.9217793882702728,0.935569018286791,0.22159349952202365,0.24717727,0.13530947640538216,0.9659343711825605,0.9694836747557355,0.12292080300022061,0.112479575,0.31520788939716804,0.36013317
29,Rabbit:Liver,0.1297614984214306,0.9601660631921263,0.9720996652304685,0.116119882764489,0.12856823,0.12065744400024414,0.9731147481533503,0.9770738371774923,0.3326273990734613,0.37012947,0.33548119650038916,0.4108711
30,RhesusMacaque:Kidney,0.20432761013507844,0.9617400827951028,0.9680218055393917,0.2997693680685077,0.19621398,0.09126380831003189,0.985499124007247,0.9851046746819081,0.17485109199205823,0.20221585,0.336282160372167,0.20569165
31,Mouse:Cerebellum,0.09159147615234058,0.9767958635163868,0.9823391366966622,0.12875106362862815,0.10834891,0.08972914144396782,0.9777111779112058,0.9826574285096603,0.2901389808074123,0.34142122,0.3613721597176263,0.41658297
32,Rabbit:Ovary,0.11891764495521784,0.9682526751740332,0.9706128809620462,0.25856418013929605,0.3422944,0.1462951097637415,0.9524112279782742,0.952796384556493,0.24751819986763732,0.24859548,0.27930899896485606,0.33588213
