,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.09782222136855126,0.9736406038462793,0.9781767565768957,0.2575844480543355,0.2729422,0.12744984030723572,0.962372863526311,0.963918469304132,0.011780277961614823,0.029613173,0.3946999779395543,0.38872564
1,Rat:Heart,0.2168457576384147,0.9145328720305975,0.9233994183870277,0.14789754697100826,0.046044476,0.1485762670636177,0.9487486355265923,0.9582755370700128,0.17842488418266048,0.2114471,0.19264024603885235,0.07026852
2,Opossum:Ovary,0.17688962941368422,0.9329068977661196,0.9409253076404235,0.14458416060004414,0.16735683,0.1501837633550167,0.9443132021641483,0.9566286647163694,-0.10200750055151113,-0.093769215,0.15014921103604095,0.17315142
3,Opossum:Testis,0.1561965768535932,0.944436276775146,0.9494792087984117,0.20738709779080394,0.29560724,0.19208255782723427,0.901107574610794,0.9199803175932003,0.01606000441208912,-0.012950351,0.3128086341190246,0.32072598
4,RhesusMacaque:Liver,0.16138532757759094,0.9582035226873022,0.9636831467994166,0.09377790383746706,0.116589695,0.12232864089310169,0.9760311085810525,0.9754878415625842,0.027090227222589896,0.040496748,0.12769119254890268,0.14278552
5,Chicken:Kidney,0.18406954780220985,0.9496628815596908,0.9606032800725729,-0.10668431502316347,-0.098344475,0.17055928334593773,0.9570243168548622,0.9635841494045623,0.015662916390911098,0.008615138,0.011953084785646002,0.0024287258
6,Human:Liver,0.16195659339427948,0.9704491044216018,0.9749971912373927,0.1304891115943399,0.20283848,0.6646304279565811,0.9402613119369087,0.9323378154919912,0.08007941760423559,0.065689445,0.16841387638153388,0.19566791
7,Chicken:Cerebellum,0.13255457133054732,0.939157820434294,0.9563309171906884,0.017868960953011246,0.052597426,0.1349215004593134,0.9451083302886591,0.9588141910788497,-0.008206485771012574,-0.00047130298,0.027829252150893446,0.063270636
8,RhesusMacaque:Brain,0.3596870856625693,0.9085923156770388,0.927458747900128,-0.020232580126689992,-0.0016405623,0.28326308727264404,0.9357649222749289,0.9382079022003963,-0.20220604456210015,-0.24876282,-0.020379245726697744,0.0068929903
9,Opossum:Cerebellum,0.12615802801317638,0.9625223155628961,0.9688059591482236,0.2783513493639238,0.34364596,0.1290047038346529,0.9566266192903359,0.9634151824255006,0.07266710787557908,0.07884002,0.3292127572405534,0.310483
10,Rabbit:Brain,0.2095037740137842,0.9561523934787487,0.9650425866775579,0.05156996838002794,0.08635963,0.18956952542066574,0.8843369588716956,0.9107048334939949,0.0645929847782925,0.07011888,0.16968185685922282,0.13174963
11,Human:Brain,0.18854633947977653,0.935664108676037,0.9461027103930786,0.34700959750595756,0.39445472,0.2840875908732414,0.9585668911493386,0.96432460105238,0.02995808515332009,0.12867425,0.3341893433971816,0.3536887
12,Chicken:Heart,0.12344268150627613,0.9674182443191204,0.9747464627741547,0.04676814471652327,0.06611519,0.1377732791006565,0.9525347279499456,0.9589712684152744,0.04306198985219501,0.053783167,0.017045370983160526,0.028950732
13,RhesusMacaque:Testis,0.19428043729729122,0.9034974740772973,0.9145949861243275,-0.007110816971836164,3.3518085e-05,0.21607690304517746,0.852555227160854,0.8804055939539809,0.03617913081844253,0.0082789315,0.08062486818277685,0.11166808
14,Chicken:Ovary,0.15871510207653045,0.9523530995628147,0.9570785073318738,-0.10028678579307301,-0.10064182,0.2064511552453041,0.8926489131696002,0.9002285575546234,-0.0773439223472314,-0.07281207,-0.04977571880285315,-0.039488774
15,Human:Ovary,0.3214420899748802,0.9421833069002016,0.9515121507578486,-0.22122845167186667,-0.2244918,0.3619376868009567,0.9302492405514123,0.9414772170034575,0.19417604235605557,0.08690095,-0.02232887342086548,-0.04118544
16,Chicken:Liver,0.13918005228042601,0.9686247178825178,0.971678306279942,-0.08555040811824398,-0.07959433,0.14094147458672523,0.9686613948567571,0.9696940902244863,-0.0257224795940878,-0.048993707,-0.040602250165453345,-0.027343096
