,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.48824064433574677,0.9714032216428183,0.9763045150550728,-0.03080306707043967,-0.0015484394,0.48711486905813217,0.934888106220411,0.9422320281722303,0.039046988749172735,0.003110629,0.012404273423466007,0.0028874318
1,Rat:Heart,0.45452534904082614,0.9696604674920725,0.9742995971991711,-0.010255793181008274,-0.0017359819,0.46207763254642487,0.9253620338612514,0.941524714476868,0.11643503198764614,0.010528445,0.0048273445711838675,0.001477768
2,Opossum:Ovary,0.5512028535207113,0.945075248168238,0.9489055958852775,0.02117172481169834,0.0057791234,0.5461142212152481,0.9395438772062991,0.9510092308747154,0.07121111846459298,0.0078436695,0.021016816847392625,0.004960275
3,Opossum:Testis,0.5824627677599589,0.9320085075084138,0.93530012380814,0.07207462733604361,0.009220028,0.600714921951294,0.8152948140822072,0.8453853950922935,0.14983454665784246,0.012109027,0.051415383645694694,0.008405974
4,RhesusMacaque:Liver,0.5223290845751762,0.9612068992510899,0.9666198175861568,-0.019029760591640143,-0.0015160594,0.5162834823131561,0.9711152650257028,0.9697604306224639,-0.07412309728656519,-0.009430432,-0.042046239663711536,-0.00398101
5,Chicken:Kidney,0.7985892742872238,0.9360688187926558,0.9534405445795737,-0.0047650562541363345,-0.00015246723,0.7881871908903122,0.966511166987583,0.9686261173341328,0.06212221486874035,0.0022176453,-0.02915287888815354,-0.001020858
6,Human:Liver,0.19025737345218657,0.9455503197840803,0.9554994687167836,0.02603684094418707,0.0027737822,0.22389908134937286,0.9060492305162156,0.9054124960367316,-0.15680564747407896,-0.013183971,-0.009697502834785949,-0.0017562351
7,Chicken:Cerebellum,0.8272020220756531,0.9461789178649817,0.9630307791560678,-0.054180454445179785,-0.0025346472,0.8400170058012009,0.954903317641161,0.9657191464741679,0.055151114052503857,0.004053308,-0.04270166924038532,-0.0039269403
8,RhesusMacaque:Brain,0.5913313201495579,0.9435058993456986,0.9578096810634216,-0.05170023005893292,-0.0037556011,0.5700929462909698,0.9333498438721441,0.9372850293774271,-0.07659386719611735,-0.005324427,-0.05074629760268409,-0.004876097
9,Opossum:Cerebellum,0.49597588512632584,0.9443077953919562,0.9561281081498311,0.02008603573792191,0.0070878775,0.4985157251358032,0.9126286641326073,0.9282122919607824,-0.0988307963820869,-0.013657833,-0.02614084018782893,-0.004052965
