,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.1120605930685997,0.9736507184421269,0.9780840489460859,0.17939420679328025,0.20210138,0.13180780224502087,0.964850082260112,0.9698499438591051,0.2818001323626737,0.28598502,0.3570680092023572,0.37689647
1,Rat:Heart,0.1449641523261865,0.9670867759160822,0.9719164020528431,0.15340031686821895,0.17434755,0.16924240812659264,0.9482657947227375,0.9567117425928756,0.15367306419589674,0.1695189,0.21778590986361454,0.24209863
2,Opossum:Ovary,0.17687579492727915,0.9378663028279964,0.9439002540232467,0.06398159528536763,0.0548252,0.1943010315299034,0.9205365055423788,0.9338463994815864,0.04500330906684315,0.011839056,0.1061871065180132,0.10688039
3,Opossum:Testis,0.15770271668831506,0.9438969912433152,0.9478358975803896,0.15832466672969653,0.2029651,0.25790421292185783,0.8228260296102701,0.8515779402671713,-0.16117361570703725,-0.14661022,0.2190056799586912,0.22822842
4,RhesusMacaque:Liver,0.15395482815802097,0.9624536392444795,0.9679447743812439,0.24088956120723162,0.20590967,0.12845496833324432,0.9759823265613521,0.9762251244000223,0.08387381425104785,0.091509804,0.25548371769417433,0.22902389
5,Chicken:Kidney,0.1465378738939762,0.9456499936424834,0.9567628174365711,0.16099713214206926,0.17176813,0.1450772061944008,0.946165496509674,0.9563553438207432,-0.01658945510699316,-0.026792945,0.15551878814618722,0.17302898
6,Human:Liver,0.254493177930514,0.9481110798136982,0.9505253090267137,0.10045302700828841,0.029758789,0.18934200704097748,0.9347071693524982,0.93437688356957,0.031016986543128164,0.08211663,0.10853103964490035,0.05599989
7,Chicken:Cerebellum,0.13928578346967696,0.9383863728234456,0.9550156796708217,0.14184866534303991,0.15713486,0.2033437080681324,0.93133065213758,0.9485764084596103,0.022634017207147583,0.023275342,0.1518824913596588,0.1465276
8,RhesusMacaque:Brain,0.18204932979175023,0.9272575452960032,0.9448640527958666,0.04401846774447702,0.022446726,0.20672425627708435,0.922681236403206,0.9279238356313,-0.036532097948378556,0.030993428,0.05364930679292029,0.02165609
9,Opossum:Cerebellum,0.18580293075905907,0.9531447641635261,0.9612492604242211,0.06833223031105229,0.078326404,0.15707933902740479,0.9434359881794594,0.9521830260170573,0.15468784469446284,0.16939066,0.14987866754908447,0.14063114
10,Rabbit:Brain,0.17315632270442116,0.9492653715532402,0.961178363463794,0.19362453121553055,0.23005213,0.19585003703832626,0.8858136103889063,0.9134875374508069,-0.024531215530553714,-0.05654842,0.24828952759131445,0.24251512
11,Human:Brain,0.16274663576712975,0.9410346671206671,0.9492419673918226,0.4180708988783112,0.45626435,0.16070043668150902,0.9415361048639612,0.9491575604548794,0.09115376130597838,0.119004846,0.3826794734342285,0.4209258
12,Chicken:Heart,0.13250083103775978,0.967817518498766,0.9747540429362154,0.08634458416060004,0.084215105,0.15810014680027962,0.9501484866174441,0.9561660367447503,-0.10955217295389368,-0.10638611,0.05394881976615927,0.057460796
