,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.06842849850654602,0.9920582730599042,0.9926710406252909,0.4771620907954462,0.5137026,0.09173962846398354,0.9879578439642416,0.9887427105945514,0.4328259430840503,0.48662716,0.6118953074280671,0.6886466
1,Rat:Heart,0.08549444749951363,0.9860419368655471,0.9878749527202036,0.42287714491553013,0.42364463,0.09462942183017731,0.9802358155565976,0.9816354208593848,0.1690271343481138,0.17952853,0.5494841748744501,0.57367516
2,Opossum:Ovary,0.11306086803476016,0.9635036451326521,0.9667572693481797,0.3501875137877785,0.37708926,0.10293233580887318,0.965362569521963,0.9733579017655494,0.08060886829913964,0.0905681,0.43260049017825325,0.4488295
3,Opossum:Testis,0.09871038670341174,0.9755110881408733,0.976784218141829,0.27843433865935524,0.42592332,0.09829986561089754,0.9722151758395895,0.975893057964594,0.4320317670416942,0.5610798,0.656814617105815,0.75544536
4,RhesusMacaque:Liver,0.07898124773055315,0.9887263347300744,0.9899621260781426,0.5899120733667392,0.63595545,0.0805260706692934,0.9888665992051424,0.9901019472937749,0.21914846679902933,0.2508928,0.5973682615641583,0.64459753
5,Chicken:Kidney,0.0835808552801609,0.9777190844986603,0.982690580461082,0.4634458416060004,0.512815,0.07203096989542246,0.9869774279572718,0.9878929589586303,0.24478270461063312,0.25773808,0.5475954114273108,0.56060857
6,Human:Liver,0.0802345131834348,0.984455897061641,0.9870462450251792,0.46707478491065507,0.59559244,0.09071586467325687,0.98501808427625,0.9850289986952225,0.3253474520185307,0.37007102,0.5929001987184015,0.659408
7,Chicken:Cerebellum,0.0752039298415184,0.9800329372731948,0.9854391693052801,0.32347231414074556,0.39025408,0.06256378442049026,0.9897638593046605,0.9911559162046605,0.20251489080079418,0.23204452,0.5227774101036841,0.55255115
8,RhesusMacaque:Brain,0.11223959922790527,0.9739944742813075,0.9789035134691775,0.30890138980807424,0.34011123,0.13373789004981518,0.9615249823256455,0.9632693937861054,0.23370836090889033,0.33045056,0.39397046809356534,0.42178127
9,Opossum:Cerebellum,0.08794819977548388,0.9815905135777001,0.9840659191676665,0.5128649165379807,0.554797,0.10737526416778564,0.9718733259950548,0.9755911748220328,0.05497463048753585,0.057565328,0.5544979672875107,0.5848914
