,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.10434145107865334,0.9712450702854781,0.9758437816458627,0.20864234669661538,0.22653578,0.12964521162211895,0.9563995420406634,0.9615487264086683,0.2127509375689389,0.22255673,0.36031483407393394,0.38594583
1,Rat:Heart,0.1470603204021851,0.955502382516077,0.9605588098494806,0.13848560440221594,0.15295084,0.17391964048147202,0.9301443853233247,0.9381958416002443,0.11206706375468782,0.1267662,0.20186021463515916,0.23290321
2,Opossum:Ovary,0.28448183834552765,0.9152625635580071,0.9222205610078485,0.042664901831016996,0.091641456,0.12235289067029953,0.9529024743041264,0.9626585038288046,0.035693801014780493,0.069359556,0.10753861184039873,0.10774527
3,Opossum:Testis,0.1569013794263204,0.9367906410724497,0.9390268741524092,0.11566606788314268,0.16275541,0.24821798503398895,0.8408472416742208,0.8587903134529407,0.18689609530112508,0.19516326,0.32549096612630696,0.3498375
4,RhesusMacaque:Liver,0.14098370168358088,0.9548970997688626,0.9607787040441718,0.2847793430189195,0.31669116,0.1404266245663166,0.9638906101023021,0.9632997759751847,0.11493492168541805,0.11555438,0.3432920487850997,0.35472277
5,Chicken:Kidney,0.1279171947389841,0.9484824386652542,0.962912541328467,0.2134127509375689,0.24374418,0.14927557110786438,0.9560397913291313,0.9629736426015969,0.10955217295389365,0.14706697,0.1889881608941834,0.25736567
6,Human:Liver,0.1426016906897227,0.9630355373345235,0.9675140259126292,0.28956698496738204,0.34340563,0.18693288043141365,0.9641349410952976,0.9600447585230598,0.06776968894771673,0.059088636,0.38874603369754873,0.39431876
7,Chicken:Cerebellum,0.14129452407360077,0.9380109662152405,0.9573116495626041,0.07471872931833222,0.08479634,0.11351694539189339,0.9667062218897474,0.9753834527349265,0.07853518641076548,0.09434592,0.14693359805868078,0.15339163
8,RhesusMacaque:Brain,0.1667147789682661,0.9224557014717052,0.9396475505807101,-0.06514134442658599,-0.05784333,0.18111607432365417,0.9244343368865519,0.930022229400778,0.12022942863445842,0.09632924,0.07117281571285541,0.05917782
9,Opossum:Cerebellum,0.12701085209846497,0.9678509674006174,0.9734969327048769,0.2919883814986396,0.30547124,0.1259414218366146,0.9563056674951467,0.9640080937976055,0.14361350099272005,0.1558934,0.31830859411931545,0.16136208
10,Rabbit:Brain,0.13056458118889067,0.9488994570198468,0.9614598759536785,0.3201080961835429,0.3686866,0.1698514875024557,0.9042235620311024,0.9245873743957547,0.08255018751378777,0.09369766,0.3696117361570703,0.3791441
11,Human:Brain,0.14544573368934485,0.9404763181632021,0.950601298543806,0.4698862796149362,0.5051543,0.2611130755394697,0.9084837376703722,0.921225938500981,0.23820869181557466,0.17305915,0.4615492411941641,0.35458434
12,Chicken:Heart,0.8045869022607803,0.8773161573747996,0.897741650824923,0.029605118023384076,0.021488788,0.4544963613152504,0.9462252968309205,0.9536540838408684,0.06609309508052062,0.08543341,-0.006415912934774618,-0.0011872149
13,RhesusMacaque:Testis,0.1760427306095759,0.9016874903322187,0.9121468253788684,0.035326126921097135,0.025642844,0.2627674601972103,0.7733372919815378,0.8048492160626636,0.1355834987866755,0.12467938,0.10161259433264727,0.08058112
14,Chicken:Ovary,0.14020673483610152,0.9398257839642877,0.9470864486063922,0.2319655857048312,0.23508798,0.17070285603404045,0.9011229109780748,0.913886793944104,0.17405691594970218,0.2269066,0.18784101772189132,0.241438
15,Human:Ovary,0.1361615608135859,0.9395110781192813,0.9504538374872725,0.1286754278150704,0.14075556,0.18470553308725357,0.9151897612965249,0.9264582855813082,0.28087359364659165,0.38333827,0.14430925350845933,0.18911614
16,Chicken:Liver,0.20870132446289064,0.9177581822951855,0.9269845310217727,-0.00975071696448268,-0.0034186505,0.26719149574637413,0.867643352878922,0.8742610048117363,0.12852415618795499,0.1485101,0.1530112508272667,0.16168855
17,Rat:Cerebellum,0.11130453433309283,0.9716579125740049,0.9762575170061546,0.2843118716712364,0.31643862,0.12097817845642567,0.9643580419097755,0.9731188158282351,0.35782042797264507,0.3636197,0.3957110614953103,0.43707332
18,Mouse:Ovary,0.11907923221588135,0.9615602957123359,0.9630673729784058,0.19031861586461193,0.16596526,0.12109687365591526,0.9575446892536221,0.9617096712804748,0.09547760864769467,0.09617588,0.3066852847130809,0.30145484
19,Opossum:Brain,0.14705961445967355,0.9409457963888654,0.9517254798892326,0.22340613280388266,0.2010772,0.13606644794344902,0.9480913593993192,0.9569426758109157,-0.017736598279285243,-0.014187544,0.318767924112067,0.29297128
20,Opossum:Liver,0.2237984836101532,0.9582329109496518,0.9622347392096959,0.0867527024045886,-0.0016626299,0.15945420041680336,0.9601409917877104,0.9629595696446571,0.09649238914626075,0.09547591,0.20819545554820204,0.06547693
21,Human:Heart,0.13305387130150428,0.9614492491097765,0.9687090407360182,0.10140411100040485,0.07268233,0.19067080318927765,0.9547877054474565,0.9582978786882659,0.040855945290094856,0.08111172,0.29038899919111705,0.31583363
22,Chicken:Testis,0.15400247871875763,0.9331460736582974,0.9407856031134273,0.0630266931392014,0.077070646,0.21452070772647858,0.8417163126323303,0.854200420133438,0.1731303772336201,0.21694392,0.10577616001176557,0.15997776
23,Human:Testis,0.21892852117033565,0.93017834250552,0.9406785887870552,0.21303036988013827,0.30620623,0.3363286554813385,0.9375929669716341,0.9404257755249431,0.2700639752923009,0.2840466,0.30482894559664914,0.35064998
24,Mouse:Testis,0.11173294697489057,0.9621794432367198,0.9667655939976015,0.24187702877312411,0.24959622,0.23035157844424248,0.8464190831813005,0.8566765705592082,0.15667328480035297,0.17689157,0.3086285433075638,0.35877863
25,Rabbit:Cerebellum,0.1360034942626953,0.9379204362542906,0.9537970772052297,0.24154612208880907,0.25892916,0.1671435870230198,0.9146144095705913,0.9333837888251795,0.2088682991396426,0.24555463,0.3296895030846057,0.35817903
26,Rat:Testis,0.1260861481229464,0.9648540464097337,0.9659980170419884,0.13656886535774687,0.200348,0.2825644537806511,0.7929641512866045,0.8127902331547175,0.1558349878667549,0.17978275,0.19915461220888087,0.25544438
