,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.43724093288183213,0.918578004545728,0.9340292909972945,-0.04755296178194921,-0.06332178,0.24955016002058983,0.9315454369683748,0.9414778464066906,0.09283035517317449,0.06039354,-0.01611988276448898,-0.03481146
1,Rat:Heart,0.36199613598485786,0.9192479234250278,0.9279847380679905,-0.0029218520284039796,-0.011457418,0.40675786696374416,0.9047823409880229,0.9169535787202643,0.08246194573130376,0.0944368,0.014547566213778694,0.03411385
2,Opossum:Ovary,0.5020482068260511,0.8757006391894113,0.8883233208717777,0.05661970943241626,0.074424304,0.20400602370500565,0.9245237425039364,0.9373134923725805,0.08877123317891021,0.09564476,0.016704120939726497,0.0050457814
3,Opossum:Testis,0.3706679369012515,0.8905737431759118,0.899194758740591,-0.00391415335161199,0.0031826939,0.3398113399744034,0.7901659935764089,0.8207106125988167,0.06071034634899625,0.0324761,0.023885886890519584,0.025348175
4,RhesusMacaque:Liver,0.5141893699765205,0.8888886963528835,0.9056954246972906,0.051826289748195774,0.03444057,0.31322886049747467,0.9721831555856033,0.9719681278601366,0.09900727994705492,0.1042932,0.03779996751538777,0.030785928
5,Chicken:Kidney,0.8526309877634048,0.9125869000486947,0.9381375161142691,-0.1331568497683653,-0.1149133,0.8102800846099854,0.9157915886324259,0.9319828685843087,0.0014118685197440982,-0.0047170613,-0.05213250974336348,-0.06363531
6,Human:Liver,0.2524381011724472,0.9227707159659257,0.9328271612805388,0.08418423623585766,0.10505781,0.5505578145384789,0.8146778788305591,0.8115381593751032,0.048091771453783363,0.12554047,0.12450499461692743,0.14111818
7,Chicken:Cerebellum,0.8375021338462829,0.8758552560207147,0.899526408766676,0.19666887271122874,0.21095651,0.7811505347490311,0.8667971391522193,0.8950530367412872,-0.04301786896095301,-0.03444466,0.11344951834693727,0.13294092
8,RhesusMacaque:Brain,0.5083219196115222,0.8134386684434745,0.8467923066589262,0.03984274053764458,0.060447183,0.28346988186240196,0.8735986114589898,0.8873059889250613,-0.0020736818883741463,-0.056794554,0.023651949197945225,-0.043660887
9,Opossum:Cerebellum,0.2703309390279982,0.9314957961395337,0.9444575187298503,0.04059121994264284,0.010747287,0.19598720222711563,0.9138252270478243,0.9266247666283054,0.17233620119126408,0.26843464,0.04267041694242223,0.016841816
10,Rabbit:Brain,0.47939787142806584,0.8927748164934941,0.9164037225278201,-0.023689241856018825,-0.020291643,0.2887553460896015,0.8760384174455044,0.9018991335216279,-0.0486212221486874,-0.025946043,-0.018526834956351827,-0.019808656
11,Human:Brain,0.1972276780467767,0.8965759894937604,0.9147160988536516,0.10132532369461554,0.10885467,0.24605166167020798,0.8644855572174964,0.8842335110186776,-0.16342378116037942,-0.15955237,0.13397965082711727,0.1324375
12,Chicken:Heart,0.8608460426330566,0.8815975033822816,0.9059602647055517,0.02841385395984999,0.053149093,0.756449282169342,0.8951505557332307,0.9147927781683209,0.01694242223692919,0.023323053,-0.018236635046694608,-0.0066896696
13,RhesusMacaque:Testis,0.5374855332904391,0.8772383658358833,0.8891937143049149,0.0495845282741378,0.02502227,0.404636450111866,0.7770590115100823,0.8087436342870044,-0.03397308625634238,-0.002170505,0.015454433058668664,-0.0007474057
14,Chicken:Ovary,0.8077781677246094,0.9002100777049797,0.918002955199557,-0.2348775645268034,-0.23391247,0.7857886701822281,0.8412745051444686,0.860298201597441,-0.010280167659386719,-0.002932675,-0.10488638870505183,-0.08187017
15,Human:Ovary,0.49304911494255066,0.819418039699293,0.8397626802095409,0.1999243641864423,0.19943482,0.4318995401263237,0.9288598107863302,0.9391489662590667,0.19655857048312375,0.07218689,0.04056190886104851,0.029389074
16,Chicken:Liver,0.8329548716545105,0.8709700099490929,0.889379151369662,0.055680564747407894,0.07143471,0.8217191249132156,0.881014403403553,0.8905758415358642,-0.007500551511140523,-0.0075860308,0.029318332230311054,0.03693757
17,Rat:Cerebellum,0.29247729799577166,0.9323816311276328,0.9472803491028723,-0.01297626926349627,-0.0029492956,0.37161777913570404,0.8886764042945295,0.9178615644216439,0.027266710787557914,0.017256098,-0.0002981796496025477,0.005020023
18,Mouse:Ovary,0.502674862742424,0.9202345955467266,0.9297813305846152,-0.12772210141502002,-0.114053376,0.22951915860176086,0.9304218768954947,0.9392916984850722,0.012177365982792848,-0.011375502,-0.05949871879719663,-0.053030882
19,Opossum:Brain,0.48052704003122115,0.8775254300380028,0.8993993484401002,-0.04842267813809839,-0.06403725,0.32048216089606285,0.8951641476171569,0.9143393839319524,-0.10262519302889916,-0.15231827,-0.055925593268412586,-0.05695917
20,Opossum:Liver,0.2960413694381714,0.9463269758782504,0.9546548686671995,-0.11377674829031549,-0.096444644,0.21668080613017082,0.962629297748235,0.9638988610900135,-0.06388705051842047,-0.0598996,-0.055659292174844784,-0.027264787
21,Human:Heart,0.25668299198150635,0.9352062685824571,0.946286770882428,0.013814444985854648,0.042499058,0.4776498153805733,0.8410504839534172,0.8467386431033521,-0.049062431061107435,-0.04613432,0.14212190524845092,0.15802337
22,Chicken:Testis,0.76515793800354,0.8899110368461809,0.9079712613289521,-0.10895654092212662,-0.092139095,0.71528659760952,0.799791888305183,0.8194596279226974,-0.19541142731083166,-0.20369329,-0.17857563056107068,-0.15033507
23,Human:Testis,0.22419379037969253,0.8918635577523535,0.905404880879106,0.08608223788081304,0.110593304,0.281922847032547,0.749390788812919,0.7619637778243048,-0.214339289653651,-0.21933469,0.09080480516615527,0.09611428
24,Mouse:Testis,0.4032967963388988,0.9111959177969068,0.9240449783339744,-0.09617566417698782,-0.106458925,0.2714608870446682,0.7956099742738232,0.8113512067084359,-0.003485550408118243,0.05876191,-0.07591459940897399,-0.07475374
25,Rabbit:Cerebellum,0.6402869863169534,0.885168551023856,0.9062762834456127,0.028993728530459183,0.047028676,0.723443154245615,0.7864336336108886,0.8301833505789896,0.11625854842267813,0.1276153,0.049367574847389545,0.082323335
26,Rat:Testis,0.45691661371125114,0.931962011521409,0.9354651985282914,-0.030483859107287296,-0.060731675,0.48055533319711685,0.7836266858148557,0.803143826707013,0.12199426428413854,0.08691368,-0.002378588761778702,0.02057508
27,Rat:Ovary,0.5550530813634396,0.9366260643415252,0.9387009835273789,-0.054142636538400936,-0.04797216,0.5724681913852692,0.8693821371198194,0.8827259066635497,0.05704831237591,0.0597987,-0.03181195045854212,-0.021873571
28,Mouse:Liver,0.5387204819255405,0.9087759288893417,0.9232512395629114,-0.06727700566218105,-0.10872104,0.3883132115006447,0.8972426631874192,0.9103246548290286,0.0028678579307302005,0.0027132574,-0.08334727262589606,-0.10083378
29,Rabbit:Liver,0.3948132519920667,0.9175565115765946,0.9350019054700822,-0.12041851816835272,-0.12845844,0.26484986022114754,0.8846636906871631,0.902972431011739,-0.0048532980366203385,-0.01735502,-0.08611379796025725,-0.0788444
30,RhesusMacaque:Kidney,0.5164385512471199,0.9125469617862876,0.9292206253804294,-0.003135257271590823,0.0017213672,0.22098753601312637,0.9620952700157361,0.9633809059126406,0.19797043900286782,0.21784015,-0.00719267496236391,-0.016025424
31,Mouse:Cerebellum,0.5858150919278463,0.9253326502529617,0.9427237348690931,0.07107875579086699,0.03775861,0.3441118523478508,0.9096410636722901,0.93043124735615,-0.02916390911096404,-0.02016525,0.054557487515793285,0.041588705
32,Rabbit:Ovary,0.5449363524094224,0.9228415666722074,0.932625858053802,0.023578414379208556,0.00036701313,0.16803935170173645,0.933544042749373,0.9319442448210064,0.08175601147143173,0.073856674,0.032049706305166265,0.013327064
33,Opossum:Kidney,0.5256690233945847,0.8672422581083546,0.8747652424772686,-0.05558601998046076,0.026526432,0.47267118841409683,0.9330870192556263,0.9343904685470752,0.12415618795499668,0.15845194,0.040095194165346376,0.06038176
34,Rabbit:Kidney,0.4624669924378395,0.9220076111594578,0.9354239870869479,0.023648797705713653,0.042246353,0.37628693878650665,0.9132050645196848,0.927553445755527,-0.03794396646812264,-0.046521265,-0.05771351965925097,-0.03374272
35,Mouse:Heart,0.4589826077222824,0.9258624271378778,0.9369060163890129,-0.049229555649145315,-0.073549494,0.24591780453920364,0.9028580547457048,0.9148534357171381,0.03101698654312817,-0.0024715366,-0.045620516699272494,-0.05948533
36,Rat:Liver,0.4290463543600506,0.9023065466291555,0.9152709140254136,-0.05481285388631517,-0.046870917,0.34028495103120804,0.909156663710067,0.9300748162944351,0.04703287006397529,0.042857304,-0.030151901925561744,-0.035220206
37,Rat:Brain,0.377340629696846,0.9002209105597351,0.9196881665396931,-0.02217275334416301,-0.022517221,0.31399038806557655,0.8841695315962006,0.9065975714924428,0.0958305757776307,0.086507104,-0.01648369473533954,-0.012544953
38,RhesusMacaque:Heart,0.6520315036177635,0.9186080712443955,0.9305012495238403,-0.0021955395879949147,0.018523322,0.27973560988903046,0.9571194357252858,0.9604273668789434,-0.04756232075887932,-0.057542615,-0.049957212432394434,-0.028792523
39,Mouse:Kidney,0.608764131863912,0.9386544837455464,0.9498742900818044,0.023919826037628815,0.01935953,0.2254178673028946,0.8735472557280772,0.9048919833064618,0.09216854180454444,0.09814666,-0.000839993890953522,0.011578186
40,Rabbit:Testis,0.5537940594885085,0.9061384310400429,0.918236635824269,-0.0056805647474079,0.0009177585,0.28451113402843475,0.8656653209734801,0.8750530912962386,0.06666666666666667,0.0646245,-0.009483627997856984,0.002913199
41,Rat:Kidney,0.4510128583226885,0.9211044766885476,0.9338341529480926,-0.013354448331284869,0.003420755,0.6146556511521339,0.838138150785176,0.8702530283178412,0.06759320538274873,0.013743912,0.026270442551051418,0.05546928
42,Chicken:Brain,0.7892215967178344,0.8858862103281531,0.9196041779993995,0.036068828590337526,0.036064953,0.7677732706069946,0.8896828508931608,0.9160880312669887,-0.02916390911096404,-0.020180997,0.032550187513787784,0.027745904
43,Human:Cerebellum,0.21969601626579577,0.8979881226696687,0.9165049032702507,-0.006690860430105964,0.017001152,0.2470368891954422,0.8587430732364398,0.8726837495047278,0.031193470108096186,0.010679049,0.012552559426362065,0.012150537
44,Human:Kidney,0.2656483975323764,0.9371270152547513,0.9472140895023778,0.11154764053506609,0.07403016,0.3936421722173691,0.8564097835747861,0.8706562676312753,0.05973968674167218,0.09937238,0.10943142104102081,0.10485126
45,Mouse:Brain,0.2976864203810692,0.9114671324870722,0.9288594329968799,-0.08821026756169047,-0.03997262,0.23743277788162231,0.9016418949854241,0.9216455055352968,0.01985440105890139,0.013501241,-0.016531758556907465,0.0033162457
46,RhesusMacaque:Cerebellum,0.6069268167018891,0.8976381925333492,0.9175944008247174,0.07138760202956099,0.074492395,0.45380444824695587,0.9333500039460372,0.9380415753385807,0.006706375468784468,0.009132367,0.0008356229401894518,0.025346994
47,Opossum:Heart,0.4151814043521881,0.9015116186768154,0.909182205729721,-0.005758444805433553,0.021290245,0.26852191612124443,0.9478077457254183,0.9494596781201641,0.15234943745863663,0.15128325,0.008142668053323247,0.019441642
