,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.12320148088037967,0.9916248701406823,0.9930932240753176,0.3685150646103657,0.4236297,0.17241260781884193,0.9888821473724073,0.9904910063894268,0.40269137436576213,0.3778222,0.49917667265450183,0.57530034
1,Rat:Heart,0.10783228029807408,0.977406056049836,0.9814977780300604,0.34540487088468563,0.3647465,0.16505911573767662,0.9659762214229448,0.9712402171177559,0.20233840723582616,0.14041921,0.3598467447865976,0.3793885
2,Opossum:Ovary,0.1484097441037496,0.9629281553309078,0.966025725658374,0.2039330623050014,0.218337,0.12949848175048828,0.9678036898214267,0.9752926669999724,0.18923450253695123,0.20027247,0.3025093150837691,0.3076479
3,Opossum:Testis,0.11123307794332504,0.9779174782459212,0.9796100328082097,0.42688222873530624,0.5652345,0.16029935330152512,0.9481039537362398,0.9573665498929437,0.41301566291639086,0.5430395,0.7077330346688387,0.77129513
4,RhesusMacaque:Liver,0.08441486209630966,0.9883812328088675,0.9904056796381603,0.6107434370174278,0.65547967,0.09031357802450657,0.9916907773292629,0.9922618313422723,0.32150893448047646,0.34485066,0.5821606145894697,0.62792575
5,Chicken:Kidney,0.07577946875244379,0.9817421191360013,0.9868641965399474,0.4915949702183983,0.49692833,0.09315364062786102,0.9850912990796112,0.9866920733943871,0.22342819324950364,0.26736128,0.5033605412162659,0.5276401
6,Human:Liver,0.075728689879179,0.9902170491907806,0.9918369026271735,0.513088147237717,0.6495315,0.19960884004831314,0.9851592398185869,0.9849727711546736,0.2669313920141187,0.20865554,0.6015910925127397,0.5530984
7,Chicken:Cerebellum,0.09255193918943405,0.971161215141765,0.9804580023130945,0.37399073461283916,0.41303316,0.12156629376113415,0.9630210164079178,0.9726663029378104,0.03732627399073461,0.05274229,0.41525479814692257,0.44410798
8,RhesusMacaque:Brain,0.13348732250077383,0.9644404449131908,0.9715774280073778,0.21112634332356375,0.20765477,0.1647406667470932,0.9419379859290866,0.94640970346373,0.14480476505625414,0.20697144,0.3449999151521322,0.36526895
9,Opossum:Cerebellum,0.11025256539384524,0.9830055564862086,0.9864164914194311,0.5134311346422531,0.5597764,0.10882540233433247,0.978319631597705,0.981644261908145,0.2957864548863887,0.30944338,0.5526267687750149,0.5843852
10,Rabbit:Brain,0.08184514691432317,0.9815787251822334,0.9853934681244169,0.5090705198911685,0.5424978,0.11275242641568184,0.9607737353508556,0.9694655630496312,0.3276417383631149,0.35882527,0.6264142321389177,0.6704746
11,Human:Brain,0.08054017304227902,0.9792579415805294,0.9830952060469575,0.710073623706979,0.77603424,0.06286982912570238,0.9905978549486113,0.9909494994146882,0.3239355834987867,0.35705018,0.7632389766594009,0.8089754
12,Chicken:Heart,0.1510717011988163,0.9643366635743346,0.9734170685686603,0.04191484667990293,0.070411235,0.15765439718961716,0.970181154402214,0.9738564047908969,0.09980145598941098,0.10975369,0.32202000147069637,0.32296318
13,RhesusMacaque:Testis,0.14332698699500826,0.9530009584159136,0.9569292408192192,0.23460548569747777,0.18377638,0.10318361967802048,0.9669133552206596,0.9711351696531196,0.4085594529009486,0.5541525,0.5006884798413588,0.49089307
14,Chicken:Ovary,0.08281772583723068,0.9802706141136236,0.9819205251512788,0.24630487535848225,0.27694735,0.08544548694044352,0.9692096248152896,0.9760689042245752,0.7036399735274653,0.75451154,0.5921906022501655,0.67360204
15,Human:Ovary,0.11150749648610751,0.9623393778285783,0.9683596213522915,0.30934417446660994,0.35064486,0.14463504031300545,0.9735308859726987,0.9780687802756723,0.3751599382307522,0.3941961,0.28553158731848344,0.29665798
16,Chicken:Liver,0.11539495885372161,0.9817679011461122,0.9847094941452539,0.0915729097727774,0.102270864,0.11101369000971317,0.9883307963594554,0.9888864597909341,0.08859474961394218,0.11894286,0.2557651297889551,0.28850523
17,Rat:Cerebellum,0.08473070178713117,0.9862623668754155,0.9892611571894522,0.45754152091015104,0.48686004,0.09996251203119755,0.967031858342432,0.9763331885873664,0.3529230090447827,0.37249014,0.5351597442927688,0.5503314
18,Mouse:Ovary,0.06246838292905262,0.990447037380135,0.9909755558126088,0.5693328290945764,0.65901303,0.05412973091006279,0.9944876734510493,0.9954929006362958,0.6936686521067725,0.7668728,0.676249627275438,0.75556195
19,Opossum:Brain,0.10590497073200014,0.9687292493712663,0.9745883532915407,0.4604750349290389,0.51651853,0.11638428829610348,0.9769521369804308,0.982157199906554,0.04054709905140084,-0.0021501095,0.48509265387160805,0.51741093
20,Opossum:Liver,0.0800830168383462,0.992736454431796,0.9938737436829851,0.7478806214742683,0.81349856,0.10642110928893089,0.988665953537065,0.9894206435172198,0.24006176924773875,0.24835381,0.6845151429201726,0.74045175
21,Human:Heart,0.08464354190688866,0.9839994110324869,0.9873131836306304,0.4502949069461313,0.53565097,0.09131086152046919,0.9805462134255707,0.9837711810547987,0.49587469666887257,0.57990247,0.6365011359194368,0.7073433
22,Chicken:Testis,0.11227823197841644,0.9660968275356179,0.9724907332050048,0.13090668431502314,0.15603532,0.144857507199049,0.9274611423420136,0.9413184826544897,0.3175821751599382,0.341018,0.35183469372747994,0.38292247
23,Human:Testis,0.08656226755941615,0.9717584875063588,0.9758017094720776,0.6272503817322209,0.7127367,0.16915510781109333,0.9855318997971255,0.9852460670612572,-0.07059342598720494,0.0028641736,0.6497096329657548,0.685133
24,Mouse:Testis,0.07463293203285762,0.9887725053321655,0.9897805704077095,0.48670858151334656,0.530056,0.07938862778246403,0.9899764031653676,0.9908723186865809,0.6936686521067725,0.778831,0.6060111077980039,0.7619225
25,Rabbit:Cerebellum,0.12105494205440794,0.954771590451128,0.9639306353495388,0.1877422709653021,0.1710615,0.09608712792396545,0.9818331979281691,0.9849086117790576,0.35208471211118464,0.38700694,0.4024720040603562,0.42153877
