,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.13834260627627373,0.9767330911243169,0.9800265545401018,0.020379840763692515,0.02644025,0.206719309091568,0.9302110722360256,0.9374150883054484,0.051224354731965585,0.021384565,0.05845781727648041,0.040366124
1,Rat:Heart,0.1715033364792665,0.9716442916890511,0.9758041151934828,-0.032106433165334555,-0.03604638,0.21738581359386444,0.9247379494583146,0.9398115751646791,0.052150893448047644,0.059130065,0.014587145248569315,0.03970265
2,Opossum:Ovary,0.147434930006663,0.9430268452564237,0.9482654364383486,0.0756673284800353,0.07551807,0.15605663135647774,0.9311613259412421,0.9435914362866233,-0.026957864548863886,-0.058148153,0.05443960407560672,0.054867566
3,Opossum:Testis,0.18986650059620538,0.9367243517785755,0.9405718835266489,-0.00491002489678863,-0.005244571,0.29739825427532196,0.8032307622568494,0.8329754880407079,-0.05170968453562762,-0.067576036,-0.0041017883506301745,-0.0045811273
4,RhesusMacaque:Liver,0.1500452272593975,0.9566812329597815,0.962882850990183,-0.006308236950195918,-0.0026165,0.15355763584375381,0.9630466200499763,0.9612585585992278,0.12415618795499668,0.112757936,0.027786949428246586,0.047904044
5,Chicken:Kidney,0.13993608579039574,0.9371834486747821,0.9537174235872066,-0.056474740789763944,0.024413642,0.14007402956485748,0.9635833909401161,0.9664296718211458,-0.07915287888815353,-0.08783649,0.0033127435840870664,0.03966142
6,Human:Liver,0.15281950185696283,0.9662627921050486,0.9716962610508257,0.21976300778418578,0.3793446,0.18081171810626984,0.9777300037283162,0.9760300174756081,0.060401500110302216,0.103297845,0.3359048513423676,0.36071736
7,Chicken:Cerebellum,0.1178663894534111,0.9466111880279013,0.962752670218137,0.05250386057798367,0.0824174,0.10650140605866909,0.9639231100948472,0.9715386506594467,-0.0214427531436135,-0.019779753,0.07252003823810575,0.113396965
8,RhesusMacaque:Brain,0.21810483719621385,0.9493062360608301,0.9608055434008703,-0.03507610853739246,-0.03293351,0.2769774757325649,0.933519364701588,0.9360409353689333,-0.01698654312817119,0.015884364,0.012887179002334529,0.045943435
9,Opossum:Cerebellum,0.15394634753465652,0.9414097688466997,0.9543228890705424,0.09191484667990293,0.05109459,0.22553220391273499,0.8756612125278904,0.8958070417342652,-0.20953011250827266,-0.20426884,-0.009987078881850556,-0.017745342
