,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.062151453271508214,0.9931749678759267,0.9946471647274862,0.3784034922353916,0.43850002,0.09053738880902529,0.9848174240823524,0.9868666514272311,0.37613059783807634,0.4017397,0.522645047429958,0.6009557
1,Rat:Heart,0.07167347986251116,0.9890776202810793,0.9910052047143916,0.5337347408823253,0.56357795,0.10512764006853104,0.9823595692973734,0.9859732113125774,0.299669093315685,0.3258798,0.5536535990968193,0.570533
2,Opossum:Ovary,0.08682108918825786,0.978733472319111,0.9814436860364201,0.5324067946172513,0.54563886,0.100978659465909,0.9750238907934279,0.9811288728294083,0.4421354511361129,0.47430924,0.5802612344637493,0.6143795
3,Opossum:Testis,0.09479877104361852,0.9825291045774852,0.9826662166583948,0.44141691090731466,0.5579895,0.1559585016220808,0.9302008746272099,0.942171014738461,0.39382307522611953,0.47409514,0.6566897695289488,0.70775
4,RhesusMacaque:Liver,0.12557837087661028,0.9861642065872196,0.9878080059317595,0.6861061212484112,0.73143435,0.10486126691102982,0.9914724172464553,0.9921667842946942,0.3614824619457313,0.4254706,0.6935411378826336,0.7370174
5,Chicken:Kidney,0.1098399218171835,0.9724147540048274,0.9803451451003597,0.2821972203838518,0.30696097,0.11185597814619541,0.9641735662493361,0.9710502553850784,0.2524597396867416,0.28750765,0.39782704610633135,0.42014605
6,Human:Liver,0.13926328867673873,0.9898074983294666,0.9913265151863366,0.5432368976710472,0.5969148,0.20913203060626984,0.9843742850502475,0.983406098245801,0.2516214427531436,0.28786108,0.5933015468595131,0.6095639
7,Chicken:Cerebellum,0.10018567889928817,0.9688402258350466,0.9780866906785199,0.25296712993602466,0.2959457,0.09875095449388027,0.9727105717509884,0.9785367074032538,0.14670196337966027,0.16100118,0.38600632399441137,0.4162589
8,RhesusMacaque:Brain,0.10431843463863645,0.9709395133096171,0.9765123317180364,0.2905360688285904,0.2605613,0.17864484898746014,0.9663462368004043,0.9643174713452423,0.13845135671740566,0.16723245,0.3916080610322834,0.38959634
9,Opossum:Cerebellum,0.08539747943480809,0.9846140048880435,0.9873271585330118,0.5459813221560409,0.5969719,0.06619462464004755,0.9905015701798265,0.9919575472941269,0.5402161923670857,0.6088083,0.6285785194289495,0.6660352
10,Rabbit:Brain,0.07606604488359557,0.9839917333282087,0.9871872574963843,0.5542539892639164,0.57484233,0.09000361897051334,0.972168067542209,0.9802065012100026,0.5111846459298477,0.56553614,0.6736881913586082,0.74145377
11,Human:Brain,0.09147047509367649,0.9740923423333349,0.9790022766611375,0.6999136975973508,0.7249871,0.06360855139791965,0.9904968982122936,0.9913189718567375,0.08347672622986983,0.08401517,0.7101441801467698,0.73679274
12,Chicken:Heart,0.10455238819122314,0.9718301358363404,0.9777795988064374,0.33125965144495917,0.34723094,0.09946827217936516,0.9788408757711256,0.9809492937087754,0.06481358923450253,0.075083725,0.2778586660783881,0.3074479
13,RhesusMacaque:Testis,0.1109385308292177,0.9614957976520228,0.9659093664104633,0.5188138833737774,0.54821074,0.173773055896163,0.9466377997489903,0.957112029612236,0.44601808956540917,0.45082635,0.5992841264184745,0.58863235
14,Chicken:Ovary,0.07667895630002022,0.9819987096892456,0.9832299245070004,0.3645268034414295,0.39927942,0.09960732888430357,0.9631106207166196,0.9675545855150519,0.65881314802559,0.7126643,0.6026251930288992,0.69946545
15,Human:Ovary,0.1087382584810257,0.9778348648504727,0.9816815191860181,0.5123380920866031,0.571316,0.18131159618496895,0.9614908025878797,0.9654454407604505,0.3185528347672623,0.4148674,0.46591198345003776,0.43407017
16,Chicken:Liver,0.07452605739235878,0.9891012728918547,0.9912475519925426,0.4034193690712552,0.44420803,0.09822935611009598,0.9830849126123353,0.9842139139203594,0.10461063313478931,0.09753216,0.5216339436723288,0.553166
