,sequence,rec rmse,rec rho (sp),rec rho (pe),rec t-rho (sp),rec t-rho (pe),gen rmse,gen rho (sp),gen rho (pe),gen t-rho (sp),gen t-rho (pe),comp t-rho (sp),comp t-rho (pe)
0,Rabbit:Heart,0.4051660545170307,0.9433939910897978,0.9538337852271391,-0.07174725414301854,-0.056887053,0.1675002332776785,0.9410449371256945,0.9469221103059621,0.006485771012574451,-0.057693135,-0.023472314140745642,-0.04508096
1,Rat:Heart,0.32206258301933605,0.9338521898248101,0.9398341409073997,-0.016494425495087308,-0.023598652,0.3936341777443886,0.8906428417934502,0.9037540769100114,0.06741672181778072,0.057137296,0.017996132933649964,0.020561455
2,Opossum:Ovary,0.4340319459637006,0.8772597679694774,0.882392963043929,0.09651760108411335,0.09058743,0.22970522940158844,0.9386659107454806,0.9505817308725748,0.10831678799911756,0.14756493,0.05370263973837766,0.02834979
3,Opossum:Testis,0.3448680117726326,0.8795289199300701,0.8834395098685003,0.08102486527370711,0.03783947,0.27929672598838806,0.8258174782534192,0.856225271200715,0.040944187072578866,-0.0005749852,0.044952400346179304,0.023222297
4,RhesusMacaque:Liver,0.29251616541296244,0.9236712316248772,0.9362858701085944,0.0032775519208345146,0.014674039,0.11161893606185913,0.9799070512536,0.9798460968200653,0.03295830575777631,0.058799315,0.0321272814985588,0.022580901
5,Chicken:Kidney,0.7320054173469543,0.8607808270043751,0.8848583084106679,0.09366865210677257,0.08218282,0.7578092068433762,0.9105224362929811,0.9188276084679035,0.004500330906684314,0.039200656,0.054816530627252,0.059509818
6,Human:Liver,0.17407967547575634,0.9523658116501341,0.9595119629919703,0.0633394787431849,0.07597059,0.3007313348352909,0.9341409858346363,0.9293003489189064,-0.19082285462166335,-0.17913364,0.10708783059371499,0.10231094
7,Chicken:Cerebellum,0.7394035458564758,0.8771413136664847,0.9023474246759868,0.16686521067725568,0.14147513,0.6565646827220917,0.8854369584186962,0.9058467619981516,-0.0688727112287668,-0.07191619,0.093017868960953,0.07418266
8,RhesusMacaque:Brain,0.6102477482386998,0.7549274811252279,0.7884017726229218,0.09194478585610287,0.093276836,0.1855458877980709,0.9187758266713713,0.9249049153558587,-0.03353187734392235,-0.03589331,-0.03665670310276531,-0.046728518
9,Opossum:Cerebellum,0.3745591416954994,0.8871505630218928,0.8988688691402162,0.004875358482241341,-0.011378768,0.22137879952788353,0.9232095222497303,0.9343106698808834,0.16761526582836972,0.24598129,0.020083672118748223,0.0090721045
10,Rabbit:Brain,0.4004770931270387,0.8926817507559461,0.9126380373330141,-0.020052945069490406,-0.007159783,0.20220932364463806,0.8819275267936699,0.9077845802842255,0.0256783587028458,-0.0038687391,-0.004592512054457785,-0.0075159096
