,model,source drug,source cell,target drug,target cell,Spearman correlation
0,cvae,BRD-A02006392,MCF7,BRD-A02006392,A549,0.8617482315339963
1,cvae,BRD-K75532464,A549,BRD-A02006392,A549,0.8613945777798981
2,Sagittarius,BRD-A02006392,MCF7,BRD-A02006392,A549,0.9510738564722244
3,Sagittarius,BRD-K75532464,A549,BRD-A02006392,A549,0.9510160975797268
4,cvae,BRD-A02006392,MCF7,BRD-A02006392,HELA,0.9005783836308953
5,cvae,BRD-K29735307,HELA,BRD-A02006392,HELA,0.9011652345037656
6,cvae,BRD-A02006392,HELA,BRD-A02006392,HELA,0.901277237366708
7,Sagittarius,BRD-A02006392,MCF7,BRD-A02006392,HELA,0.9652323152774248
8,Sagittarius,BRD-K29735307,HELA,BRD-A02006392,HELA,0.9651681679499544
9,Sagittarius,BRD-A02006392,HELA,BRD-A02006392,HELA,0.9660954082360358
10,cvae,BRD-A02006392,MCF7,BRD-A02006392,MCF7,0.8114730955583066
11,cvae,BRD-K71480163,MCF7,BRD-A02006392,MCF7,0.811438081033693
12,cvae,BRD-A02006392,MCF7,BRD-A02006392,MCF7,0.811486257273732
13,Sagittarius,BRD-A02006392,MCF7,BRD-A02006392,MCF7,0.942164843956158
14,Sagittarius,BRD-K71480163,MCF7,BRD-A02006392,MCF7,0.9418670633517044
15,Sagittarius,BRD-A02006392,MCF7,BRD-A02006392,MCF7,0.9420654447826944
16,cvae,BRD-A02367930,MCF7,BRD-A02367930,A549,0.8413637104784618
17,cvae,BRD-K86797399,A549,BRD-A02367930,A549,0.8423257728664169
18,Sagittarius,BRD-A02367930,MCF7,BRD-A02367930,A549,0.9519957923047698
19,Sagittarius,BRD-K86797399,A549,BRD-A02367930,A549,0.9520645064652726
20,cvae,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.7830772974526328
21,cvae,BRD-K12184916,MCF7,BRD-A02367930,MCF7,0.7830150551102898
22,cvae,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.7825568580814752
23,Sagittarius,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.915761006056384
24,Sagittarius,BRD-K12184916,MCF7,BRD-A02367930,MCF7,0.9156281189120454
25,Sagittarius,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.9153040982599284
26,cvae,BRD-A02481876,MCF7,BRD-A02481876,A549,0.9345870632690912
27,cvae,BRD-K57169635,A549,BRD-A02481876,A549,0.9344039602036678
28,Sagittarius,BRD-A02481876,MCF7,BRD-A02481876,A549,0.9570499744113034
29,Sagittarius,BRD-K57169635,A549,BRD-A02481876,A549,0.956956078528208
30,cvae,BRD-A02481876,MCF7,BRD-A02481876,MCF7,0.9379968391229604
31,cvae,BRD-K09132007,MCF7,BRD-A02481876,MCF7,0.9364796050592532
32,cvae,BRD-A02481876,MCF7,BRD-A02481876,MCF7,0.9358179787095656
33,Sagittarius,BRD-A02481876,MCF7,BRD-A02481876,MCF7,0.9703182022374416
34,Sagittarius,BRD-K09132007,MCF7,BRD-A02481876,MCF7,0.9694743964514836
35,Sagittarius,BRD-A02481876,MCF7,BRD-A02481876,MCF7,0.9691888731755768
