,model,source drug,source cell,target drug,target cell,Spearman correlation
0,cvae,BRD-A01145011,A549,BRD-A01145011,A549,0.8302822580544296
1,cvae,BRD-K71879491,A549,BRD-A01145011,A549,0.8298199624212501
2,cvae,BRD-A01145011,A549,BRD-A01145011,A549,0.8297641662407016
3,Sagittarius,BRD-A01145011,A549,BRD-A01145011,A549,0.9500073021222836
4,Sagittarius,BRD-K71879491,A549,BRD-A01145011,A549,0.9500133570245068
5,Sagittarius,BRD-A01145011,A549,BRD-A01145011,A549,0.947308797685057
6,cvae,BRD-A01145011,A549,BRD-A01145011,MCF7,0.7849639446928556
7,cvae,BRD-K43966364,MCF7,BRD-A01145011,MCF7,0.7853036477982935
8,cvae,BRD-A01145011,MCF7,BRD-A01145011,MCF7,0.7854111543832083
9,Sagittarius,BRD-A01145011,A549,BRD-A01145011,MCF7,0.9518074489267234
10,Sagittarius,BRD-K43966364,MCF7,BRD-A01145011,MCF7,0.952559597347463
11,Sagittarius,BRD-A01145011,MCF7,BRD-A01145011,MCF7,0.9532285742458236
12,cvae,BRD-A02006392,MCF7,BRD-A02006392,A549,0.8571724508439915
13,cvae,BRD-K21718444,A549,BRD-A02006392,A549,0.8575275092840927
14,Sagittarius,BRD-A02006392,MCF7,BRD-A02006392,A549,0.9487643987450984
15,Sagittarius,BRD-K21718444,A549,BRD-A02006392,A549,0.9486565586274344
16,cvae,BRD-A02006392,MCF7,BRD-A02006392,HELA,0.8415336646566423
17,cvae,BRD-K70511574,HELA,BRD-A02006392,HELA,0.8420765597615739
18,cvae,BRD-A02006392,HELA,BRD-A02006392,HELA,0.8415136526916681
19,Sagittarius,BRD-A02006392,MCF7,BRD-A02006392,HELA,0.9699059172744238
20,Sagittarius,BRD-K70511574,HELA,BRD-A02006392,HELA,0.969623774224652
21,Sagittarius,BRD-A02006392,HELA,BRD-A02006392,HELA,0.969923479056507
22,cvae,BRD-A02006392,HELA,BRD-A02006392,MCF7,0.8110146227235645
23,cvae,BRD-K02404261,MCF7,BRD-A02006392,MCF7,0.8114979565763323
24,cvae,BRD-A02006392,MCF7,BRD-A02006392,MCF7,0.811096748749055
25,Sagittarius,BRD-A02006392,HELA,BRD-A02006392,MCF7,0.9406032372085752
26,Sagittarius,BRD-K02404261,MCF7,BRD-A02006392,MCF7,0.940467329027216
27,Sagittarius,BRD-A02006392,MCF7,BRD-A02006392,MCF7,0.94024168770804
28,cvae,BRD-A02367930,MCF7,BRD-A02367930,A549,0.8492653963640018
29,cvae,BRD-K56751279,A549,BRD-A02367930,A549,0.8495829131275021
30,Sagittarius,BRD-A02367930,MCF7,BRD-A02367930,A549,0.9473480006113144
31,Sagittarius,BRD-K56751279,A549,BRD-A02367930,A549,0.9470315742433414
32,cvae,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.7928202444680885
33,cvae,BRD-K75295174,MCF7,BRD-A02367930,MCF7,0.7923037048644643
34,cvae,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.792637667358155
35,Sagittarius,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.9163829355947812
36,Sagittarius,BRD-K75295174,MCF7,BRD-A02367930,MCF7,0.9160456441876862
37,Sagittarius,BRD-A02367930,MCF7,BRD-A02367930,MCF7,0.9159162142385786
38,cvae,BRD-A02481876,MCF7,BRD-A02481876,A549,0.8130064418194549
39,cvae,BRD-K41524689,A549,BRD-A02481876,A549,0.8125035578162891
40,Sagittarius,BRD-A02481876,MCF7,BRD-A02481876,A549,0.9549404888098194
41,Sagittarius,BRD-K41524689,A549,BRD-A02481876,A549,0.9533356895711668
42,cvae,BRD-A02481876,MCF7,BRD-A02481876,MCF7,0.762833559287874
43,cvae,BRD-K27305650,MCF7,BRD-A02481876,MCF7,0.7637269139294174
44,cvae,BRD-A02481876,MCF7,BRD-A02481876,MCF7,0.762636544058339
45,Sagittarius,BRD-A02481876,MCF7,BRD-A02481876,MCF7,0.9681996984235364
46,Sagittarius,BRD-K27305650,MCF7,BRD-A02481876,MCF7,0.9693872289502016
