,model,source drug,source cell,target drug,target cell,Spearman correlation
0,cvae,BRD-K90382497,SKBR3,BRD-K90382497,BT20,0.7249179026775684
1,cvae,BRD-K19540840,BT20,BRD-K90382497,BT20,0.7249812934476937
2,cvae,BRD-K20285085,SKBR3,BRD-K20285085,PC3,0.8086911548716587
3,cvae,BRD-K19687926,PC3,BRD-K20285085,PC3,0.8083059717769405
4,cvae,BRD-K49456274,MCF7,BRD-K49456274,A549,0.8090408692074771
5,cvae,BRD-K40738845,A549,BRD-K49456274,A549,0.8103761238379438
6,cvae,BRD-K16730910,A549,BRD-K16730910,PC3,0.8097660665064081
7,cvae,BRD-K40175214,PC3,BRD-K16730910,PC3,0.8093890414913935
8,cvae,BRD-K19477839,HT29,BRD-K19477839,A375,0.7753706995309728
9,cvae,BRD-K09132007,A375,BRD-K19477839,A375,0.7757217177686984
10,cvae,BRD-A61304759,MCF7,BRD-A61304759,A549,0.904520266088066
11,cvae,BRD-K03618428,A549,BRD-A61304759,A549,0.9044728531248964
12,cvae,BRD-K18190982,A549,BRD-K18190982,A549,0.8769100338190021
13,cvae,BRD-K00521308,A549,BRD-K18190982,A549,0.8770350957719086
14,cvae,BRD-K18190982,A549,BRD-K18190982,A549,0.877041022392305
15,cvae,BRD-A85860691,A549,BRD-A85860691,A549,0.8965248639139881
16,cvae,BRD-K24132293,A549,BRD-A85860691,A549,0.8963612340298668
17,cvae,BRD-A85860691,A549,BRD-A85860691,A549,0.8966574944946732
18,cvae,BRD-K05649647,A549,BRD-K05649647,MCF7,0.8828040000762252
19,cvae,BRD-K51544265,MCF7,BRD-K05649647,MCF7,0.8826597792324924
20,cvae,BRD-K12762134,A549,BRD-K12762134,MCF7,0.8887665393839417
21,cvae,BRD-K90382497,MCF7,BRD-K12762134,MCF7,0.8885251194000743
22,cvae,BRD-K12762134,MCF7,BRD-K12762134,MCF7,0.8888819417152932
23,cvae,BRD-A61304759,HEPG2,BRD-A61304759,MCF7,0.8920774612621114
24,cvae,BRD-K53665955,MCF7,BRD-A61304759,MCF7,0.8921551615645789
25,cvae,BRD-A61304759,MCF7,BRD-A61304759,MCF7,0.8923094268753469
26,cvae,BRD-A28105619,A549,BRD-A28105619,A549,0.889685556804928
27,cvae,BRD-K08109215,A549,BRD-A28105619,A549,0.8899674817755944
28,cvae,BRD-A28105619,A549,BRD-A28105619,A549,0.8897562914042025
29,cvae,BRD-A84481105,HT29,BRD-A84481105,MCF7,0.8885283072034692
30,cvae,BRD-A35869383,MCF7,BRD-A84481105,MCF7,0.8885144271098138
31,cvae,BRD-K78126613,MCF7,BRD-K78126613,MCF7,0.8898796985215437
32,cvae,BRD-A68009927,MCF7,BRD-K78126613,MCF7,0.88980810443403
33,cvae,BRD-K78126613,MCF7,BRD-K78126613,MCF7,0.8897306863515815
34,cvae,BRD-K01779529,MCF7,BRD-K01779529,MCF7,0.8862397594141047
35,cvae,BRD-K00627859,MCF7,BRD-K01779529,MCF7,0.8858632650807523
