,cell_id,drug_id,num_points
0,A549,BRD-A61304759,25
1,A549,BRD-K18190982,19
2,A549,BRD-A85860691,21
3,MCF7,BRD-K05649647,24
4,MCF7,BRD-K12762134,19
5,MCF7,BRD-A61304759,28
6,A549,BRD-A28105619,19
7,MCF7,BRD-A84481105,40
8,MCF7,BRD-K78126613,38
9,MCF7,BRD-K01779529,19
10,MCF7,BRD-K15563106,19
11,MCF7,BRD-A75409952,36
12,A549,BRD-A13122391,21
13,MCF7,BRD-K28907958,19
14,A549,BRD-A15079084,19
15,A549,BRD-K06792661,19
16,MCF7,BRD-K81418486,78
17,A549,BRD-K12762134,19
18,A375,BRD-K81418486,31
19,MCF7,BRD-K60230970,33
20,MCF7,BRD-K73319509,36
21,A549,BRD-A71390734,28
22,A549,BRD-K05649647,22
23,MCF7,BRD-K87909389,48
24,MCF7,BRD-K11853856,28
25,A549,BRD-K28907958,19
26,A549,BRD-A18763547,19
27,PC3,BRD-K29107232,22
28,MCF7,BRD-K02130563,51
29,MCF7,BRD-K54343811,22
30,PC3,BRD-K35832492,22
31,A375,BRD-K12502280,18
32,PC3,BRD-K59369769,38
33,A375,BRD-K59369769,33
34,PC3,BRD-K36740062,31
35,PC3,BRD-K61894884,22
36,MDAMB231,BRD-K68065987,69
37,HME1,BRD-K49865102,55
38,MDAMB231,BRD-K40175214,61
39,MDAMB231,BRD-A45498368,63
40,MDAMB231,BRD-K49865102,73
41,A375,BRD-K83963101,31
42,HA1E,BRD-K00627859,22
43,MCF7,BRD-K36740062,37
44,MCF7,BRD-K26510616,22
45,PC3,BRD-K29313308,22
46,PC3,BRD2492 + BRD3308,17
47,HME1,BRD-K40175214,50
48,HEPG2,BRD-A19500257,24
49,HME1,BRD-K68065987,51
50,A549,BRD-K85606544,30
51,MCF7,BRD-K85606544,37
52,MCF7,BRD-A19037878,32
53,HCC515,BRD-K98948170,23
54,HME1,BRD-K52911425,51
55,HME1,BRD-A45498368,55
56,A549,BRD-A68281735,21
57,A549,BRD-K51313569,27
58,HEPG2,BRD-K21680192,36
59,MCF7,BRD-K56032964,22
60,A549,BRD-K28731095,22
61,HCC515,BRD-K64052750,21
62,MCF7,BRD-K84937637,24
63,MCF7,BRD-A71390734,27
64,PC3,BRD-K24844714,30
65,PC3,BRD-A39996500,19
66,PC3,BRD-A19500257,28
67,HCC515,BRD-K57080016,21
68,PC3,BRD-K59058747,19
69,HT29,BRD-K81418486,25
70,A549,BRD-K74402642,19
71,MCF7,BRD-K59369769,64
72,MCF7,BRD-K48692744,21
73,A549,BRD-K03618428,19
74,A549,BRD-A19500257,35
75,MCF7,BRD-K68202742,19
76,A549,BRD-K68202742,19
77,A549,BRD-A36630025,21
78,MCF7,BRD-K63923597,44
79,A549,BRD-K24132293,19
80,MCF7,BRD-A19500257,47
81,A549,BRD-A75409952,31
82,MCF7,BRD-A02481876,24
83,MCF7,BRD-K09907482,24
84,A549,BRD-K01976263,21
85,A549,BRD-A47829399,19
86,A549,BRD-K09499853,19
87,A549,BRD-K07303502,24
88,A549,BRD-A91699651,29
89,A549,BRD-K81418486,59
90,PC3,BRD-A75409952,28
91,HA1E,BRD-K85133207,22
92,MCF7,BRD-K88742110,22
93,MCF7,BRD2492 + BRD3308,17
94,PC3,BRD-K77908580,36
95,HA1E,BRD-K88742110,22
96,HA1E,BRD-K02130563,36
97,HA1E,BRD-K19826688,27
98,HA1E,BRD-K56301217,19
99,HA1E,BRD-K77908580,33
100,PC3,BRD-K56851771,18
101,PC3,BRD-K79404599,23
102,MDAMB231,BRD-K52911425,58
103,PC3,BRD-K54343811,22
104,MCF7,BRD-K94176593,25
105,HA1E,BRD-K36452089,16
106,A549,BRD-K21680192,49
107,HEPG2,BRD-K81418486,40
108,HA1E,BRD-K98948170,23
109,A375,BRD-K07572174,21
110,A549,BRD-K11433652,19
111,A549,BRD-K23984367,20
112,MCF7,BRD-K81332461,19
113,YAPC,BRD-K51313569,16
114,MCF7,BRD-A27376179,22
115,MCF7,BRD-A25619068,22
116,PC3,BRD-A23723433,19
117,A549,BRD-K96042922,22
118,A549,BRD-K11153516,27
119,MCF7,BRD-K96042922,30
120,PC3,BRD-K95986273,19
121,A549,BRD-K32107296,29
122,PC3,BRD-K64052750,37
123,MCF7,BRD-K76617868,23
124,PC3,BRD-K83896451,18
125,MCF7,BRD-K15108141,49
126,MCF7,BRD-A04020513,19
127,PC3,BRD-K45681478,19
128,PC3,BRD-K32107296,32
129,MCF7,BRD-K88378636,49
130,A549,BRD-K15108141,42
131,A549,BRD-A35588707,21
132,MCF7,BRD-A45889380,30
133,MCF7,BRD-K03618428,19
